cp_id,district_id,address_en,address2_en,lat,lgt,waste_type,legend
361,Tuen_Mun,"Entrance of Siu Hang Tsuen RCP, Tuen Mun",,22.413979,113.971701,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
363,Tuen_Mun,"near entrance of Lo Tsing Shan Tsuen at So Kwun Wat Road, Tuen Mun",,22.375684,113.999681,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
376,Tuen_Mun,"Ho Hoi Street , Area 40, Tuen Mun (near seaside)",,22.367921,113.949683,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
378,Tuen_Mun,"In front of Aqua Privy at Lee Uk Tsuen, So Kwun Wat (TM-96), So Kwun Wat Tsuen Road, Tuen Mun",,22.37667,114.00648,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
380,Tuen_Mun,"At side of Kar Wo Lei Tsuen RCP(TM-47), Castle Peak Road, Tuen Mun, N.T.",,22.370089,113.995358,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
381,Tuen_Mun,Fuk Hang Tsuen Refuse Collection Point (TM-17) at Fuk Hang Tsuen near Fuk Yam School,,22.41809,113.993041,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
382,Tuen_Mun,Fuk Hang Tsuen Road (near Village Office) Refuse Collection Point (TM-18) at Fuk Hang Tsuen Road near Village Office,,22.416831,113.988959,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
383,Tuen_Mun,"Castle Peak Road Lam Tei Refuse Collection Point (TM-19) at Lam Tei Bus Stop, Castle Peak Road",,22.418405,113.982521,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
385,Tuen_Mun,"Castle Peak Road Po Yuen Refuse Collection Point (TM-23) at Po Yuen, Castle Peak Road",,22.426875,113.989227,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
386,Tuen_Mun,Kei Lun Wai Refuse Collection Point (TM-24) at Kei Lun Wai,,22.411515,113.976269,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
388,Tuen_Mun,"Tsing Shan Tsuen Hing Choi Street Refuse Collection Point (TM-26) at Tsing Shan Tsuen, Hing Choi Street",,22.392358,113.966077,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
389,Tuen_Mun,Tsing Chuen Wai (2),,22.42254,113.98307,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
391,Tuen_Mun,Sun Fung Wai Refuse Collection Point (TM-30) at Sun Fung Wai,,22.425447,113.988551,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
392,Tuen_Mun,"Underneath footbridge at Castle Peak Road, Hung Shui Kiu near bus stop",,22.424044,113.987194,"Glass Bottles,Metals,Other Plastic,Paper",Recycling Bins at Public Place
395,Tuen_Mun,Fu Tei Sheung Tsuen (near Aqua Privy) Refuse Collection Point (TM-37) at Fu Tei Sheung Tsuen near Aqua Privy,,22.407974,113.984061,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
396,Tuen_Mun,Chung Wong Toi Refuse Collection Poinit (TM-38) at Chung Wong Toi,,22.405149,113.985813,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
397,Tuen_Mun,"Wong Ka Wai Refuse Collection Point (TM-39) at Wong Ka Wai, Area 36B",,22.400341,113.979716,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
398,Tuen_Mun,Chung Shan San Hing Tsuen Refuse Collection Point (1) (TM-40) at San Hing Tsuen Chung Shan. (1),,22.420627,113.976371,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
400,Tuen_Mun,So Kwun Wat (near So Kwun Wat Primary School) Refuse Collection Point (TM-45) at So Kwun Wat near So Kwun Wat Primary School,,22.376481,114.004153,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
401,Tuen_Mun,"So Kwun Wat Lee Uk Tsuen Refuse Collection Point (TM-46) at Lee Uk Tsuen, So Kwun Wat Road",,22.376694,114.006398,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
402,Tuen_Mun,"Castle Peak Road Yick Yuen Refuse Collection Point (TM-48) at Yick Yuen, Castle Peak Road",,22.4297,113.9884,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
404,Tuen_Mun,"Tai Lam Chung On Lok Tsuen Refuse Collection Point (TM-52) at On Lok Tsuen, Tai Lam Chung",,22.362799,114.021343,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
405,Tuen_Mun,"Tai Lam Chung Tsuen Refuse Collection Point (TM-53) at Tai Lam Chung Tsuen, Tai Lam Chung",,22.367876,114.022336,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
406,Tuen_Mun,Wong Uk Tsuen Refuse Collection Point (TM-54) at Wong Uk Tsuen,,22.364002,114.022571,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
408,Tuen_Mun,"Tin Sum San Tsuen (near playground) Refuse Collection Point (TM-57) at Tin Sum San Tsuen, near playground",,22.431293,113.992412,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
409,Tuen_Mun,Tsz Tin Tsuen (at side of playground) Refuse Collection Point (TM-59) at Tsz Tin Tsuen at side of playground,,22.415973,113.975109,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
410,Tuen_Mun,Tsz Tin Tsuen (near Vegetable Market Office) Refuse Collection Point (TM-60) at Tsz Tin Tsuen near Vegetable Market Office,,22.413961,113.975197,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
412,Tuen_Mun,Yip Wong Road Refuse Collection Point (TM-64) at Tsing Shan Kau Hui,,22.389866,113.96867,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
415,Tuen_Mun,Lung Kwu Tan Tsuen Bus Stop Refuse Collection Point (TM-80) at Lung Kwu Tan Tsuen Bus Stop ,,22.386547,113.921042,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
418,Tuen_Mun,Po Tong Ha Tsuen Refuse Collection Point at Po Tong Ha Tsuen,,22.415839,113.971227,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
420,Tuen_Mun,Kwong Tin Street Refuse Collection Point at Kwong Tin Street ,,22.42712,113.993234,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
421,Tuen_Mun,Sam Shing Street Rerfuse Collection Point (TM-81) at Sam Shing Street ,,22.380241,113.977726,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
424,Tuen_Mun,Tuen Mun Bus-Bus Interchange (Kowloon Bound) at Tai Lam,,22.362061,114.016375,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
428,Yuen_Long,"Outside Entrance of Hillwood, Tai Tong Road, Yuen Long",,22.422659,114.030295,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
429,Yuen_Long,Junction of Tai Tong Road and Ma Tong Road,,22.440619,114.029545,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
440,Yuen_Long,Open space opposite to Kam Tin Market Public Toilet,,22.440325,114.065571,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
441,Yuen_Long,Hung Shui Kiu Temporary Market,,22.433225,113.995954,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
443,Yuen_Long,At side of Lau Fau Shan Roundabout Public Toilet,,22.466512,113.983916,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
444,Yuen_Long,Castle Peak Road - Ping Shan (near lamppost VA5649),,22.43858,114.00527,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
446,Yuen_Long,At side of Tai San Wai RCP (YL-143),,22.470864,114.04432,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
447,Yuen_Long,At side of Ping Shan San Tsuen RCP,,22.441996,114.007851,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
458,Yuen_Long,Pin Hong Lane near oil station,,22.440452,114.011362,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
459,Yuen_Long,"Open Space near entrance road of Kiu Tau Wai, Ping Shan, Yuen Long",,22.442266,114.004744,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
460,Yuen_Long,"Open Space in front of Village Office, San Wai Tsuen, San Tin, Yuen Long",,22.472231,114.056249,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
462,Yuen_Long,Sik Kong Tsuen Public Toilet,,22.450057,113.993419,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
463,Yuen_Long,At side of Tze Tong Tsuen RCP (YL-165),,22.43834,114.06484,"Glass Bottles,Metals,Other Plastic,Paper",Recycling Bins at Public Place
465,Yuen_Long,At side of Lok Kui Lau RCP (YL-92),,22.44299,114.011392,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
469,Yuen_Long,"Tan Kwai Tsuen RCP near Ying Yin Pri Sch, Hung Shui Kiu (YL-95)",,22.426848,113.997467,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
470,Yuen_Long,"Shek Po Road RCP near aqua privy, Hung Shui Kiu (YL-97)",,22.437639,113.994903,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
471,Yuen_Long,"Ha Yau Tin Tsuen RCP , Yau Tin West Road, Shap Pat Heung (YL-7)",,22.439027,114.037931,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
473,Yuen_Long,"Vicinity of pavilion at side of Bus Stop K66, Wong Nai Tun Tsuen, Yuen Long ",,22.416194,114.021895,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
474,Yuen_Long,"RCP at Nam Bin Wai (YL-213), Yuen Long",,22.44752,114.03407,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
476,Yuen_Long,At side of San Wai (Ha Tsuen) RCP (YL－128),,22.450595,113.9906,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
477,Yuen_Long,"Yeung Hau Temple, Ping Shan",,22.446026,114.007914,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
478,Yuen_Long,"RCP YL-104, Hang Mei Tsuen, Ping Shan",,22.443762,114.008046,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
479,Yuen_Long,"RCP YL-94, Tong Fong Tsuen, Ping Shan",,22.443885,114.006697,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
485,Yuen_Long,"RCP YL-114, Tan Kwai Yuen",,22.428623,113.996446,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
486,Yuen_Long,"Outside San Sang Tsuen Public Toilet, Yuen Long",,22.439373,113.991597,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
488,Yuen_Long,At side of Wong Uk Tsuen RCP (YL-11),,22.446389,114.039444,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
489,Yuen_Long,At side of Tai Tong Tsuen (roundabout) RCP (YL-8),,22.41805,114.02545,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
490,Yuen_Long,"At side of Po Chu Yuen RCP (YL-9), Tai Kei Ling",,22.43219,114.03186,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
491,Yuen_Long,At side of Tin Lui Tsuen RCP (YL-20),,22.43243,114.024177,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
492,Yuen_Long,"At side of Shui Chiu San Tsuen inside RCP (YL-38), Shap Pak Heung",,22.425633,114.027442,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
494,Yuen_Long,"At side of Notice Board near Tai Shui Ha Public Toilet (YL-24), Tai Shui Ha Road East",,22.42916,114.03388,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
496,Yuen_Long,At side of Fung Chi Tsuen RCP,,22.447797,114.020611,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
501,Yuen_Long,"Kam Sheung Road RCP (YL-216), Pat Heung",,22.434266,114.065382,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
502,Yuen_Long,"Kam Sheung Road RCP (YL-57), Pat Heung",,22.42845,114.0844,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
503,Yuen_Long,At side of Shan Pui Tsuen Public Toilet (YL-214),,22.452261,114.035456,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
504,Yuen_Long,"Kam Sheung Road, at side of Wing Hing Wai bin site, Pat Heung",,22.43008,114.09412,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
505,Yuen_Long,Tai Shu Ha Road East behind Lamp post FB0599,,22.42565,114.03745,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
506,Yuen_Long,"Tai Shu Ha Road East Hop Shing Garage RCP (YL-10) at Tai Shu Ha Road East, beside Hop Shing Garage",,22.43481,114.0301,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
509,Yuen_Long,"Kam Tin Hang Tau Bar RCP (YL-19) at Hang Tau Bar, Kam Tin",,22.423912,114.076908,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
510,Yuen_Long,Shui Chiu Lo Wai RCP (YL-22) at Shui Chiu Lo Wai,,22.42541,114.03164,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
512,Yuen_Long,"Nam Hang Pai RCP 2 (YL-26) at Nam Hang Pai RCP 2, outside Tai Tong Garden",,22.422779,114.031237,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
513,Yuen_Long,Shui Chiu San Tsuen,,22.422266,114.02863,"Glass Bottles,Metals,Other Plastic,Paper",Recycling Bins at Public Place
514,Yuen_Long,Shui Tau Tsuen RCP 2 (YL-28) at Shui Tau Tsuen RCP 2,,22.445774,114.062692,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
515,Yuen_Long,Hung Cho Tin Tsuen,,22.42634,114.030507,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
517,Yuen_Long,Lui Kung Tin RCP (YL-31) at Lui Kung Tin,,22.426925,114.104813,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
518,Yuen_Long,"Tin Lui Tsuen RCP (YL-32) at Tin Lui Tsuen, Tai Tong Road",,22.43157,114.02853,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
527,Yuen_Long,Sai Bin Wai RCP (YL-49) at Sai Bin Wai,,22.447335,114.031154,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
530,Yuen_Long,"Sheung Tsuen Ku Miu RCP 1 (YL-53) at Sheung Tsuen Ku Miu RCP 1, at side of A/P 54",,22.43274,114.10105,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
531,Yuen_Long,Ta Shek Wu RCP (YL-151) at Ta Shek Wu,,22.463396,114.107283,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
532,Yuen_Long,Lo Uk Tsuen RCP (YL-59) at Lo Uk Tsuen,,22.43924,114.093392,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
534,Yuen_Long,Sheung Che Tsuen RCP (YL-62) at Sheung Che Tsuen,,22.44858,114.096943,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
536,Yuen_Long,"Shui Kan Shek Tsuen RCP (YL-64) at Shui Kan Shek Tsuen, Fan Kam Road",,22.45225,114.09847,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
538,Yuen_Long,San Lung Wai RCP (YL-66) at San Lung Wai,,22.44628,114.09575,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
540,Yuen_Long,Wing Ning Lee (entrance) RCP (YL-68) at Wing Ning Lee (entrance),,22.44298,114.09274,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
541,Yuen_Long,Srithai Feed Co. RCP (YL-69) opposite to Srithai Feed Co.,,22.44197,114.09048,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
542,Yuen_Long,Ko Po Tsuen RCP (YL-70) at Ko Po Tsuen,,22.441432,114.056781,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
543,Yuen_Long,Ng Ka Tsuen (inside) RCP (YL-71) at Ng Ka Tsuen (inside),,22.43807,114.06995,"Metals,Other Plastic,Paper",Recycling Bins at Public Place
544,Yuen_Long,Ng Ka Tsuen (outside) RCP (YL-72) at Ng Ka Tsuen (outside),,22.43538,114.07,"Glass Bottles,Metals,Other Plastic,Paper",Recycling Bins at Public Place
